epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
39,84762.9,0.1018,0.18546,0.05234,0.94408,0.96423,0.95781,0.66258,0.33344,0.41858,0.15612,8.119e-05,8.119e-05,8.119e-05
40,87200.3,0.10045,0.18383,0.05099,0.95959,0.9412,0.94054,0.64208,0.34384,0.42851,0.1624,8.0695e-05,8.0695e-05,8.0695e-05
41,89111.7,0.09759,0.17904,0.04966,0.98702,0.94278,0.95371,0.66181,0.33126,0.42134,0.15326,8.02e-05,8.02e-05,8.02e-05
42,91490.9,0.09959,0.18633,0.05103,0.95698,0.94024,0.94238,0.65369,0.33266,0.44925,0.15639,7.9705e-05,7.9705e-05,7.9705e-05
43,93397.7,0.09704,0.18083,0.04922,0.97977,0.94056,0.9433,0.64752,0.34054,0.41715,0.15859,7.921e-05,7.921e-05,7.921e-05
44,95785.3,0.09694,0.17828,0.0495,0.96701,0.9433,0.94423,0.66031,0.33295,0.413,0.16352,7.8715e-05,7.8715e-05,7.8715e-05
45,97581.3,0.09486,0.17604,0.04849,0.95148,0.94061,0.95997,0.66662,0.32985,0.42735,0.15516,7.822e-05,7.822e-05,7.822e-05
46,99853.7,0.09268,0.17446,0.04682,0.97684,0.93915,0.95066,0.65688,0.33023,0.43309,0.15309,7.7725e-05,7.7725e-05,7.7725e-05
47,101786,0.09495,0.17918,0.04828,0.96506,0.94278,0.94483,0.6565,0.33832,0.44586,0.15314,7.723e-05,7.723e-05,7.723e-05
48,104139,0.09345,0.18066,0.04743,0.96256,0.94056,0.94306,0.65363,0.33357,0.44381,0.15931,7.6735e-05,7.6735e-05,7.6735e-05
49,106025,0.08844,0.16688,0.04418,0.98534,0.94274,0.96174,0.66255,0.32392,0.4408,0.14342,7.624e-05,7.624e-05,7.624e-05
50,108356,0.08693,0.16618,0.04366,0.99128,0.94208,0.94757,0.66189,0.3294,0.4302,0.15372,7.5745e-05,7.5745e-05,7.5745e-05
51,110284,0.08599,0.1655,0.04368,0.96295,0.94556,0.93988,0.66018,0.32819,0.43004,0.15376,7.525e-05,7.525e-05,7.525e-05
52,112746,0.08737,0.16587,0.0449,0.97741,0.94088,0.94252,0.65445,0.33051,0.43681,0.15651,7.4755e-05,7.4755e-05,7.4755e-05
53,114663,0.08626,0.16547,0.04378,0.948,0.96503,0.96255,0.67409,0.32589,0.43512,0.1526,7.426e-05,7.426e-05,7.426e-05
54,117412,0.0824,0.16123,0.04284,0.96191,0.96643,0.96281,0.67181,0.32368,0.43554,0.14439,7.3765e-05,7.3765e-05,7.3765e-05
55,119216,0.08842,0.17228,0.0445,0.97919,0.94278,0.94387,0.65289,0.3335,0.42604,0.15666,7.327e-05,7.327e-05,7.327e-05
56,121549,0.08224,0.16069,0.04206,0.94002,0.94107,0.93626,0.65922,0.32844,0.43485,0.15331,7.2775e-05,7.2775e-05,7.2775e-05
57,123379,0.08193,0.16049,0.0413,0.9608,0.93867,0.93943,0.65963,0.32648,0.45157,0.15112,7.228e-05,7.228e-05,7.228e-05
58,125751,0.07935,0.15582,0.03963,0.98553,0.94056,0.95016,0.66152,0.33001,0.44466,0.14473,7.1785e-05,7.1785e-05,7.1785e-05
59,127616,0.07985,0.15588,0.04002,0.98511,0.94,0.94165,0.65974,0.33437,0.44084,0.14579,7.129e-05,7.129e-05,7.129e-05
60,129952,0.08084,0.15564,0.04045,0.98949,0.94063,0.94321,0.65816,0.32948,0.43869,0.14475,7.0795e-05,7.0795e-05,7.0795e-05
61,131878,0.07929,0.1548,0.04044,0.99288,0.95827,0.96527,0.66355,0.32971,0.44175,0.14656,7.03e-05,7.03e-05,7.03e-05
